Message,Word_Count,Text_Length,Count_A,Count_Exclamation,Avg_Word_Length,Punctuation_Count,Uppercase_Word_Count,Keyword_Presence,and,are,call,can,for,have,in,is,it,me,my,now,of,on,so,that,the,to,you,your,Label
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,111,7,0,4.6,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Ok lar... Joking wif u oni...,6,29,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,28,155,5,0,4.571428571,6,2,1,0,0,0,0,0,0,0.406306375,0,0,0,0,0,0,0,0,0,0,0.913736904,0,0,spam
U dun say so early hor... U c already then say...,11,49,5,0,3.545454545,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
"Nah I don't think he goes to usf, he lives around here though",13,61,2,0,3.769230769,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ham
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",32,147,3,2,3.625,8,0,1,0.300478759,0,0,0,0.325142367,0,0,0,0.653574482,0,0,0.351637535,0,0,0,0,0,0.447640712,0.229791622,0,spam
Even my brother is not like to speak with me. They treat me like aids patent.,16,77,4,0,3.875,2,0,0,0,0,0,0,0,0,0,0.380491038,0,0.78276358,0.406356253,0,0,0,0,0,0,0.278176822,0,0,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,160,8,0,5.192307692,6,0,0,0,0,0,0,0.303985304,0,0,0,0,0,0,0,0,0,0,0,0,0.209256332,0,0.929410954,ham
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,26,157,9,3,5.076923077,6,2,0,0,0,0.485579522,0,0,0.490989363,0,0,0,0,0,0,0,0,0,0,0,0.643456478,0.330311572,0,spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,154,7,1,4.344827586,2,3,1,0,0,0.346206885,0,0.333225708,0,0,0,0,0,0,0,0,0.35887263,0,0,0.56081346,0.458769475,0,0.339603723,spam
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",21,109,7,0,4.238095238,6,0,0,0.801966932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597368429,0,0,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",26,136,6,1,4.269230769,8,4,0,0.408466053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912773512,0,0,spam
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",26,155,3,2,5,8,7,1,0,0,0,0,0,0.551513013,0.482088295,0,0,0,0,0,0,0,0,0,0.441770565,0.36138728,0.37102867,0,spam
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,37,196,11,0,4.324324324,4,1,0,0.426849909,0,0,0,0.692829287,0.242612909,0,0,0,0,0.232229297,0,0,0,0,0,0.194336741,0.158975794,0.326434164,0.235363398,ham
I HAVE A DATE ON SUNDAY WITH WILL!!,8,35,0,2,3.5,2,8,0,0,0,0,0,0,0.698266964,0,0,0,0,0,0,0,0.715837444,0,0,0,0,0,0,ham
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",19,149,2,0,6.894736842,11,1,0,0,0,0,0,0,0,0.403154408,0,0,0,0,0,0,0,0,0,0.738876063,0.302216163,0,0.447430527,spam
Oh k...i'm watching here:),4,26,1,0,5.75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,81,3,0,3.315789474,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Fine if thats the way u feel. Thats the way its gota b,13,56,5,0,3.384615385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783761565,0.62106184,0,0,0,ham
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",24,155,8,0,5.5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521514473,0.853242436,0,0,spam
Is that seriously how you spell his name?,8,41,2,0,4.25,1,0,0,0,0,0,0,0,0,0,0.593867573,0,0,0,0,0,0,0,0.66979076,0,0,0.445759624,0,ham
I‘m going to try for 2 months ha ha only joking,11,47,2,0,3.363636364,0,0,0,0,0,0,0,0.823704738,0,0,0,0,0,0,0,0,0,0,0,0,0.567018963,0,0,ham
So ü pay first lar... Then when is da stock comin...,11,52,3,0,3.818181818,6,0,0,0,0,0,0,0,0,0,0.645390208,0,0,0,0,0,0,0.763853049,0,0,0,0,0,ham
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,88,2,0,3.45,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ham
Ffffffffff. Alright no way I can meet up with you sooner?,11,57,2,0,4.272727273,2,1,0,0,0,0,0.845750877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533577973,0,ham
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28,144,5,0,4.178571429,7,1,0,0,0,0,0,0,0,0,0.807264081,0,0,0,0,0,0,0,0,0,0.590190396,0,0,ham
Lol your always so convincing.,5,30,2,0,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737939781,0,0,0,0,0.674866564,ham
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,32,134,6,0,3.21875,6,0,0,0,0.492865341,0,0,0,0,0,0,0,0,0.224088749,0,0,0,0,0,0.187524476,0,0.787478413,0.227112987,ham
"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,75,4,0,4.066666667,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701435991,0,0,0,0,0.545778364,0,0.458381423,0,ham
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,64,3,1,4.416666667,4,1,0,0,0,0,0,0,0,0,0,0.687388696,0,0,0,0,0,0,0.726289736,0,0,0,0,ham
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,130,11,0,4.038461538,4,0,0,0,0,0,0,0,0,0,0,0,0.216811606,0,0,0,0,0,0.950902247,0,0.154100076,0.158211285,0,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,41,188,14,2,3.609756098,7,0,0,0.778374358,0,0,0,0,0,0.515628355,0,0,0,0,0,0,0,0,0.298144019,0,0,0.19842102,0,ham
